phrase,phrase_puj,phrase_simple_puj,freq,mandarin,english,source,tag
流血,lâu-hueh,lau5-hueh4,k10,流血,bleed|shed blood,汕頭話讀本,
浪蕩个儂,ló-tōng--kâi-nâng,lo2-tong7--kai5-nang5,k20,流浪的人,,汕頭話讀本,
浪蕩儂,ló-tōng-nâng,lo2-tong7-nang5,k20,流浪者,,汕頭話讀本,人|稱呼
浮,phû,phu5,k00,炸,"to fry in oil, as plantain &c|to float",汕頭話讀本,飲食
浮大風,phû-tuā-huang,phu5-tua7-huang1,k10,起大風,storm to rise,汕頭話讀本,
浮膿,pũ-lâng,pu6-lang5,k00,化膿,,汕頭話讀本,健康
浮起來,phû--khí-lâi,phu5--khi2-lai5,k10,浮起來,emerge,汕頭話讀本,
浴布,e̍k-pòu,ek8-pou3,k00,(洗澡用)毛巾,a towel for bath,汕頭話讀本,起居|物件
海圖,hái-tôu,hai2-tou5,k10,海圖,charts,汕頭話讀本,
海墘,hái-kîⁿ,hai2-kinn5,k00,海邊,"coast|shore|seacoast, seaside",汕頭話讀本,天地
海嶼,hái-sṳ̃,hai2-sur6,k00,島嶼,an island,汕頭話讀本,職業|行船
海湧,hái-éng,hai2-eng2,k00,海浪,,汕頭話讀本,天地
海茸,hái-zông,hai2-zong5,k10,海綿,sponge,汕頭話讀本,起居|物件
海賊,hái-tsha̍t,hai2-tshat8,k10,海賊,pirate,汕頭話讀本,
海風潮,hái-huang-tiê,hai2-huang1-tie5,k10,洪水,flood,汕頭話讀本,
消息,sié-sit,sie2-sit4,k10,消息,news,汕頭話讀本,
涎,nuãⁿ,nuann6,k00,唾液,saliva|spittle,汕頭話讀本,人|身體
淖淖,chhieh-chhieh,chhieh4-chhieh4,k10,淖淖,watery,汕頭話讀本,
淖糜,chhieh-mûe,chhieh4-mue5,k00,稀粥,,考釋,飲食
淫事,îm-sṳ̄,im5-sur7,k10,淫事,adultery,汕頭話讀本,
深坑,chhim-kheⁿ,chhim1-khenn1,k00,山谷,valley,汕頭話讀本,天地
添,thiⁿ,thinn1,k00,加,add,汕頭話讀本,人|行動
清楚,chheng-tshó,chheng1-tsho2,k10,清楚,settle,汕頭話讀本,
清潔,chheng-khih,chheng1-khih4,k00,乾淨,clean|pure,汕頭話讀本,入門
清潔相,chheng-khih-sièⁿ,chheng1-khih4-sienn3,k10,乾淨狀,clean as servants being,汕頭話讀本,
減,kiám,kiam2,k00,少,decrease|less,汕頭話讀本,入門
渡船,tōu-tsûn,tou7-tsun5,k00,航船,a passage boat,汕頭話讀本,職業|行船
湯匙,thng-sî,thng1-si5,k00,湯勺,gravy spoons,汕頭話讀本,飲食|物件
溜落去,liù--lo̍h-khṳ̀,liu3--loh8-khur3,k10,溜下去,slip,汕頭話讀本,
溜跋,liù-pua̍h,liu3-puah8,k10,溜倒,slip,汕頭話讀本,
溝水,tsúi-kau,tsui2-kau1,k10,溝水,ditch,汕頭話讀本,
溪墘,khoi-kîⁿ,khoi1-kinn5,k00,溪邊,bank,汕頭話讀本,
滂沛,phâng-phài,phang5-phai3,k00,豐盛,,汕頭話讀本,飲食
滅掉,húi-tiàu,hui2-tiau3,k10,滅掉,ruin,汕頭話讀本,
滑,ku̍t,kut8,k00,光滑的,smooth|to hoe,汕頭話讀本,入門
滒,ko,ko1,k00,黏稠,,考釋,飲食
滯氣,thì-khì,thi3-khi3,k10,滯氣,dysentery,汕頭話讀本,
滴囝,tih-kiáⁿ,tih4-kiann2,k00,一點,,,入門
滾水,kún-tsui,kun2-tsui1,k00,開水,,考釋,飲食
漂白,piè-pe̍h,pie3-peh8,k10,漂白,bleach,汕頭話讀本,
漆器,tshat-khì,tshat4-khi3,k10,漆器,lacquered ware,汕頭話讀本,
漉,lok,lok4,k00,濕透,wet,汕頭話讀本,入門
漉漉,lok-lok,lok4-lok4,k10,漉漉,wet thoroughly,汕頭話讀本,
漏儂,láu-nâng,lau2-nang5,k10,騙人,cheating,汕頭話讀本,
漏囝,láu-kiáⁿ,lau2-kiann2,k00,騙子,impostor|rogue|scoundrel,汕頭話讀本,人|品評
漏屎,làu-sái,lau3-sai2,k00,腹瀉,diarrhoea,汕頭話讀本,健康
漏掉,làng-tiàu,lang3-tiau3,k10,漏掉,omit,汕頭話讀本,
漲,tĩⁿ,tinn6,k00,滿,full,汕頭話讀本,入門
漸漸,chiãm-chiãm,chiam6-chiam6,k10,漸漸,gradually,汕頭話讀本,
潘,phun,phun1,k00,泔水,,考釋,飲食
激死,kek-sí,kek4-si2,k10,氣死,drown,汕頭話讀本,
激酒,kek-chiú,kek4-chiu2,k10,釀酒,distil,汕頭話讀本,
濛煙,mông-in,mong5-in1,k00,迷霧,mist,汕頭話讀本,天地
濟貧,chì-phîn,chi3-phin5,k10,濟貧,alms,汕頭話讀本,
灌腸,kuàn-tn̂g,kuan3-tng5,k10,香腸,,汕頭話讀本,飲食
火山,húe-suaⁿ,hue2-suann1,k10,火山,volcano,汕頭話讀本,
火柴,húe-tshâ,hue2-tsha5,k10,柴火,firewood,汕頭話讀本,飲食|物件
火灰,húe-hu,hue2-hu1,k00,灰燼,ashes,汕頭話讀本,飲食|物件
火炎,húe-iām,hue2-iam7,k10,火炎,blaze|flame,汕頭話讀本,
火炭,húe-thuàⁿ,hue2-thuann3,k10,火炭,charcoal,汕頭話讀本,
火燂,húe-thûn,hue2-thun5,k10,火燂,soot,汕頭話讀本,
火爁,húe-nāⁿ,hue2-nann7,k10,火炬,torch,汕頭話讀本,
火爐,húe-lôu,hue2-lou5,k10,火爐,oven|a grate,汕頭話讀本,
火牌,húe-pâi,hue2-pai5,k10,火柴,matches,汕頭話讀本,飲食|物件
火石,húe-chie̍h,hue2-chieh8,k00,打火石,flint,汕頭話讀本,職業|經商
火箭,húe-su̍h,hue2-suh8,k10,火箭,rockets,汕頭話讀本,
火腿,húe-thúi,hue2-thui2,k10,火腿,ham,汕頭話讀本,
火舌,húe-chi̍h,hue2-chih8,k10,火舌,flame,汕頭話讀本,
火船,húe-tsûn,hue2-tsun5,k20,汽船,a steamer,汕頭話讀本,職業|行船
火船囝,húe-tsûn-kiáⁿ,hue2-tsun5-kiann2,k20,汽艇,a steamlaunch,汕頭話讀本,職業|行船
火薰筒,húe-hun-tâng,hue2-hun1-tang5,k10,煙囪,chimney,汕頭話讀本,
火藥,húe-ie̍h,hue2-ieh8,k10,火藥,gunpowder,汕頭話讀本,
火車,húe-chhia,hue2-chhia1,k10,火車,railway,汕頭話讀本,
火長,húe-tiéⁿ,hue2-tienn2,k10,火長,captain of steamer,汕頭話讀本,
火雞,húe-koi,hue2-koi1,k10,火雞,turkey,汕頭話讀本,
火頭,húe-thâu,hue2-thau5,k10,火頭,cook,汕頭話讀本,
灰埕,hue-tiâⁿ,hue1-tiann5,k10,水泥地,lime floor,汕頭話讀本,
灰塗,hue-thôu,hue1-thou5,k10,灰漿,mortar,汕頭話讀本,
灱,ta,ta1,k00,亁,dry,汕頭話讀本,入門
灶頭,tsàu-thâu,tsau3-thau5,k00,灶台,,考釋,飲食|物件
灼灼晃,iăp-ia̍p-sih,iăp4-iap8-sih4,k10,亮閃閃,twinkle,汕頭話讀本,
炊,tshue,tshue1,k00,蒸,"to steam, as fish, cakes &c",汕頭話讀本,飲食
炕床,khàng-tshn̂g,khang3-tshng5,k10,炕床,a chinese couch,汕頭話讀本,
炕牀,khàng-tshn̂g,khang3-tshng5,k10,炕,,汕頭話讀本,起居|物件
炭,thuàⁿ,thuann3,k00,煤,charcoal,汕頭話讀本,飲食|物件
炮臺,phàu-thâi,phau3-thai5,k10,炮臺,a fort,汕頭話讀本,戰爭
烏,ou,ou1,k00,黑,black,汕頭話讀本,入門
烏呢,ou-nî,ou1-ni5,k10,黑呢,"woollen cloth, black",汕頭話讀本,
烏布,ou-pòu,ou1-pou3,k10,黑布,black cloth,汕頭話讀本,
烏布鞋,ou-pòu-ôi,ou1-pou3-oi5,k10,黑布鞋,"shoes, blackcloth",汕頭話讀本,
烏暗,ou-àm,ou1-am3,k00,黑暗,,汕頭話讀本,入門
烏木,ou-ba̍k,ou1-bak8,k10,烏木,ebony,汕頭話讀本,
烏油,ou-iû,ou1-iu5,k00,柏油,tar,汕頭話讀本,起居|物件
烏烏,ou-ou,ou1-ou1,k10,黑,pale in fright,汕頭話讀本,
烏番,ou-huan,ou1-huan1,k10,黑人,negro,汕頭話讀本,
烏糖,ou-thn̂g,ou1-thng5,k00,黑糖,"sugar, black",汕頭話讀本,職業|經商
烏面儂,ou-mīn-nâng,ou1-min7-nang5,k20,黑人,negro,汕頭話讀本,人|稱呼
烏魚,ou-hṳ̂,ou1-hur5,k10,黑魚,blackfish,汕頭話讀本,
烙,luah,luah4,k10,烙,"to fry, as eggs, fish &c",考釋,飲食
焙,pūe,pue7,k00,烤(麵包),"to toast, as bread &c",汕頭話讀本,飲食
無,bô,bo5,k00,沒有,"no, none|no",汕頭話讀本,入門
無中用,bô-tèng-ēng,bo5-teng3-eng7,k00,不中用,,考釋,人|品評
無仁義,bô-jîn-ngĩ,bo5-jin5-ngi6,k10,不仁不義,ungrateful,汕頭話讀本,
無仔細,bô-tsṳ́-sòi,bo5-tsur2-soi3,k10,不小心,careless,汕頭話讀本,
無位次,bô-ūi-tshṳ̀,bo5-ui7-tshur3,k10,沒地方,room no,汕頭話讀本,
無假个,bô-ké--kâi,bo5-ke2--kai5,k10,沒有假的,none are false,汕頭話讀本,
無儂情,bô-nâng-chhéng,bo5-nang5-chheng2,k10,沒有人情,unfeeling,汕頭話讀本,
無力,bô-la̍t,bo5-lat8,k10,沒有力氣,weak,汕頭話讀本,
無去,bô--khṳ̀,bo5--khur3,k10,沒了,disappear,汕頭話讀本,
無奈何,bò-nãiⁿ-hô,bo3-nainn6-ho5,k10,無可奈何,cannot but,汕頭話讀本,
無好嫌,bô-hó-hiâm,bo5-ho2-hiam5,k10,不能嫌棄,blameless,汕頭話讀本,
無定着,bô tiāⁿ-tie̍h,bo5 tiann7-tieh8,k00,不確定,,汕頭話讀本,入門
無干涉,bô-kan-sia̍p,bo5-kan1-siap8,k10,無關,concern does not,汕頭話讀本,
無影,bô-iáⁿ,bo5-iann2,k10,虛假,absurd,汕頭話讀本,
無影無跡,bô-iáⁿ-bô-chiah,bo5-iann2-bo5-chiah4,k10,毫無根據,,汕頭話讀本,
無心,bô-sim,bo5-sim1,k10,無心,inattentive,汕頭話讀本,
無情理,bô-chhêng-lí,bo5-chheng5-li2,k10,不通情理,unreasonable,汕頭話讀本,
無才情,bô-tshài-chhêng,bo5-tshai3-chheng5,k10,沒本事,inability,汕頭話讀本,
無拖欠,bô-thua-khiàm,bo5-thua1-khiam3,k10,不拖欠,payment,汕頭話讀本,
無救了,bô-kiù--lō,bo5-kiu3--lo7,k10,沒救了,"there is no hope, (lit. there is no salvation.)",汕頭話讀本,
無望,bô-mō,bo5-mo7,k10,無望,hopeless,汕頭話讀本,
無本事,bô-pún-sṳ̄,bo5-pun2-sur7,k10,無本事,inability,汕頭話讀本,
無本領,bô-pún-niáⁿ,bo5-pun2-niann2,k10,沒本領,inability,汕頭話讀本,
無父無母,bô-pẽ-bò-bó,bo5-pe6-bo3-bo2,k10,無父無母,,汕頭話讀本,
無班母,bô-pan-bó,bo5-pan1-bo2,k10,無節制,immoderate,汕頭話讀本,
無生理,bô-seng-lí,bo5-seng1-li2,k10,沒有生意,trade dull,汕頭話讀本,
無相干事,bô-siang-kau-sṳ̄,bo5-siang1-kau1-sur7,k10,不相干的事,,汕頭話讀本,
無罪,bô-tsũe,bo5-tsue6,k10,無罪,innocent,汕頭話讀本,
無胆,bô-táⁿ,bo5-tann2,k10,沒有胆量,coward|timid,汕頭話讀本,
無花果,bô-hue-kúe,bo5-hue1-kue2,k10,無花果,fig,汕頭話讀本,
無行,bô-hẽng,bo5-heng6,k00,缺德,,考釋,人|品評
無規矩,bô-kui-kṳ́,bo5-kui1-kur2,k10,沒規矩,impertinent|rude,汕頭話讀本,人|品評
無錯,bô-tshò,bo5-tsho3,k10,沒錯,correct|right,汕頭話讀本,
無限,bô-hân,bo5-han5,k10,無限,unlimited,汕頭話讀本,
無𡚸,bô-bóu,bo5-bou2,k10,沒有老婆,bachelor,汕頭話讀本,
煆火,hiâⁿ-húe,hiann5-hue2,k00,燒火,,考釋,飲食
煏,pek,pek4,k10,烤,,考釋,飲食
煙塵,eng-têng,eng1-teng5,k10,煙塵,dust,汕頭話讀本,
煙筒,in-tâng,in1-tang5,k00,煙囪,chimney|a chimney|a funnel,汕頭話讀本,職業|行船
煠,sa̍h,sah8,k10,水煮,"to boil in water, as eggs, fowls &c. without anything being added",考釋,飲食
煠酒,sa̍h-chiú,sah8-chiu2,k10,燒酒,distil,汕頭話讀本,
照,chiè,chie3,k00,按,shine|according to,汕頭話讀本,入門
照律,chiè-lu̍t,chie3-lut8,k10,依法,according to law,汕頭話讀本,
煩惱,huân-ló,huan5-lo2,k00,擔心,care|grief|sad|sorry,汕頭話讀本,人|行動
煮,tsṳ́,tsur2,k00,做(飯),"cook|to boil as rice, vegetables &c in large utensils",汕頭話讀本,人|行動
煮食,tsṳ́-chia̍h,tsur2-chiah8,k10,做飯,to cook for many,汕頭話讀本,
煲糊,kho̍h-kôu,khoh8-kou5,k10,打漿糊,paste to make,汕頭話讀本,
煲食,pû-chia̍h,pu5-chiah8,k10,做飯,to cook for one or two,汕頭話讀本,
煴,ùn,un3,k00,蘸,,汕頭話讀本,飲食
熇,hoh,hoh4,k10,蒸,,考釋,飲食
熱布,zua̍h-pòu,zuah8-pou3,k10,夏布,grass cloth,汕頭話讀本,職業|經商
熱衫,zua̍h-saⁿ,zuah8-sann1,k10,夏日外套,a summer coat,汕頭話讀本,
熻,hip,hip4,k10,燜,,考釋,飲食
燃塗炭,hiâⁿ-thôu-thuàⁿ,hiann5-thou5-thuann3,k10,燒炭,to burn coal,汕頭話讀本,
燃柴,hiâⁿ-tshâ,hiann5-tsha5,k10,燒柴,to burn fire wood,汕頭話讀本,
燃火个儂,hiâⁿ-húe--kâi-nâng,hiann5-hue2--kai5-nang5,k10,司爐,,汕頭話讀本,
燃火食,hiâⁿ-húe-si̍t,hiann5-hue2-sit8,k10,燒火做飯,cook,汕頭話讀本,
燈心,teng-sim,teng1-sim1,k10,燈心,lamp wick,汕頭話讀本,
燈盞,teng-chuáⁿ,teng1-chuann2,k10,中式台燈,a chinese table lamp,汕頭話讀本,起居|物件
燈籠,teng-nâng,teng1-nang5,k10,燈籠,"lantern, paper",汕頭話讀本,
燉鉢,tũn-puah,tun6-puah4,k10,燉鍋,a chinese earthen cooking vessel,汕頭話讀本,
燒水,sie-tsui,sie1-tsui1,k00,溫開水,,汕頭話讀本,飲食
燕窩,ièn-o,ien3-o1,k10,燕窩,birdnests,汕頭話讀本,
燕菜,ièn-tshài,ien3-tshai3,k10,海藻,seaweeds,汕頭話讀本,職業|經商
燕鳥,ìⁿ-chiáu,inn3-chiau2,k00,燕子,swallow,汕頭話讀本,動物|鳥
營盤,iâⁿ-puâⁿ,iann5-puann5,k10,營地,camp,汕頭話讀本,戰爭
燭檯,chek-tâi,chek4-tai5,k10,燭檯,a candlestick,汕頭話讀本,
爆掉,piàng-tiàu,piang3-tiau3,k10,爆掉,burst|explode burst,汕頭話讀本,
爛儂,àu-nâng,au3-nang5,k10,爛人,blackguard,汕頭話讀本,
父母,pẽ-bó,pe6-bo2,k10,父母,parents,汕頭話讀本,
爽快,sóng-khuài,song2-khuai3,k00,歡快,happy,汕頭話讀本,人|情緒
牀布,tshn̂g-pòu,tshng5-pou3,k10,桌布,,汕頭話讀本,起居|物件
牀頂,tshn̂g-téng,tshng5-teng2,k10,桌上,,汕頭話讀本,起居|物件
牙頭齒,gê-thâu-khí,ge5-thau5-khi2,k10,臼齒,teeth molar|back teeth,汕頭話讀本,人|身體
牛乳油,gû-nĩ-iû,gu5-ni6-iu5,k00,黃油,butter,汕頭話讀本,飲食
牛乳罐,gû-nĩ-kuàn,gu5-ni6-kuan3,k10,牛奶罐,a milk jug,汕頭話讀本,
牛屎,gû-sái,gu5-sai2,k10,牛屎,dung,汕頭話讀本,
牛擔彎,gû-taⁿ-uan,gu5-tann1-uan1,k10,牛軛,yoke,汕頭話讀本,
牛皮,gû-phûe,gu5-phue5,k10,牛皮,"hides, buffalo",汕頭話讀本,
牛羊,gû-iêⁿ,gu5-ienn5,k10,牛羊,cattle,汕頭話讀本,
牛角,gû-kak,gu5-kak4,k10,牛角,"horns, buffalo",汕頭話讀本,
牛黃,gû-n̂g,gu5-ng5,k10,牛黃,cow bezoar,汕頭話讀本,
牧師,mo̍k-sṳ,mok8-sur1,k10,牧師,pastor,汕頭話讀本,
物,mu̍eh,mueh8,k00,做,thing|do|make,汕頭話讀本,人|行動
物件,mu̍eh-kiãⁿ,mueh8-kiann6,k00,東西,,汕頭話讀本,起居|物件
物儂驚,mu̍eh-nâng-kiaⁿ,mueh8-nang5-kiann1,k10,嚇人,frighten,汕頭話讀本,
物好,mu̍eh-hó,mueh8-ho2,k10,弄好,arrange,汕頭話讀本,
物彎,mu̍eh-uan,mueh8-uan1,k10,弄彎,bend,汕頭話讀本,
物掉,mu̍eh-tiàu,mueh8-tiau3,k10,弄掉,spoil,汕頭話讀本,
物業,mu̍eh-ngia̍p,mueh8-ngiap8,k10,物業,property,汕頭話讀本,
物清潔,mu̍eh-chheng-khih,mueh8-chheng1-khih4,k10,弄乾淨,clean,汕頭話讀本,
物燃,mu̍eh-hiâⁿ,mueh8-hiann5,k10,弄燃,fuel,汕頭話讀本,
物破,mu̍eh-phuà,mueh8-phua3,k10,弄破,break,汕頭話讀本,
物食,mu̍eh-chia̍h,mueh8-chiah8,k00,蜜餞,confections,汕頭話讀本,職業|經商
牽成,khan-sêng,khan1-seng5,k10,引薦,introduce,汕頭話讀本,
牽拖,khan-thua,khan1-thua1,k10,引薦,introduce,汕頭話讀本,
牽馬索,khan-bé-soh,khan1-be2-soh4,k10,牽馬繩,reins to hold,汕頭話讀本,
犀牛,sai-gû,sai1-gu5,k10,犀牛,rhinoceros,汕頭話讀本,
犯人,huãm-jîn,huam6-jin5,k10,犯人,prisoner,汕頭話讀本,
犯律,huãm-lu̍t,huam6-lut8,k00,犯法,commit|break the law,汕頭話讀本,法律
犯罪,huãm-tsũe,huam6-tsue6,k10,犯罪,commit a sin or a crime|sin to,汕頭話讀本,
狐狸,hõu-lâi,hou6-lai5,k10,狐狸,fox,汕頭話讀本,
狗母,káu-bó,kau2-bo2,k00,母狗,bitch,汕頭話讀本,動物|家禽
狹,o̍ih,oih8,k00,窄,narrow,汕頭話讀本,入門
狹細,o̍ih-soih,oih8-soih4,k00,(心胸)狹隘,,,
猛,mé,me2,k00,快,fast|swift|quick,汕頭話讀本,入門
獃,ngâi,ngai5,k00,呆,,考釋,人|品評
王后,uâng-hõu,uang5-hou6,k10,王后,empress|queen,汕頭話讀本,
王宮,uâng-keng,uang5-keng1,k10,王宮,palace,汕頭話讀本,
王寶,uâng-pó,uang5-po2,k10,王寶,sycee,汕頭話讀本,
王帽,uâng-bō,uang5-bo7,k10,王冠,crown,汕頭話讀本,政治
玳瑁,tāi-pūe,tai7-pue7,k10,玳瑁,tortoise,汕頭話讀本,
玻璃,po-lî,po1-li5,k10,玻璃,glass,汕頭話讀本,
玻璃器,po-lî-khì,po1-li5-khi3,k10,玻璃器,glass ware,汕頭話讀本,
玻璃杯,po-lî-pue,po1-li5-pue1,k10,玻璃杯,tumblers,汕頭話讀本,
玻璃樽,po-lî-tsun,po1-li5-tsun1,k10,玻璃瓶,bottles,汕頭話讀本,飲食|物件
珊瑚,san-hû,san1-hu5,k00,珊瑚,coral,汕頭話讀本,職業|經商
現在,hīn-tsãi,hin7-tsai6,k00,現在,present time|present,汕頭話讀本,時日
現錢,hiēn-chîⁿ,hien7-chinn5,k00,現金,cash ready,汕頭話讀本,職業|經商
理事,lí-sṳ̄,li2-sur7,k10,理事,transact,汕頭話讀本,
琵琶,pî-pê,pi5-pe5,k10,琵琶,guitar,汕頭話讀本,
瓜冊,kue-chheh,kue1-chheh4,k10,瓜冊,melon cut into small pieces and dried with sugar,汕頭話讀本,
甌,au,au1,k00,湯碗,,汕頭話讀本,飲食|物件
甕,àng,ang3,k00,大罐子,a large jar,汕頭話讀本,飲食|物件
甘愿,kam-nguãn,kam1-nguan6,k10,甘愿,satisfied|willing,汕頭話讀本,
甘癪,kam-chek,kam1-chek4,k10,絛蟲病,having tapeworms in the stomach,汕頭話讀本,健康
甘草,kam-tsháu,kam1-tshau2,k10,甘草,liquorice,汕頭話讀本,
甘虫,kam-thâng,kam1-thang5,k00,絛蟲,,汕頭話讀本,健康
甘蜜,kam-bi̍t,kam1-bit8,k10,檳榔膏,gambier,汕頭話讀本,職業|經商
甘蟲,kam-thâng,kam1-thang5,k10,甘蟲,tapeworms,汕頭話讀本,
甜料,tiâm-liāu,tiam5-liau7,k10,甜料,sweetmeats,汕頭話讀本,
甜糕,tiâm-ko,tiam5-ko1,k10,果醬,jam,汕頭話讀本,飲食
生㿗,seⁿ-thûe,senn1-thue5,k10,長癤,to have a boil,汕頭話讀本,
生事,seⁿ-sṳ̄,senn1-sur7,k00,惹事,,考釋,人|行動
生份儂,chheⁿ-hūn-nâng,chhenn1-hun7-nang5,k10,陌生人,stranger,汕頭話讀本,
生分儂,chheⁿ-hūn-nâng,chhenn1-hun7-nang5,k00,陌生人,,汕頭話讀本,人|稱呼
生囝,seⁿ-kiáⁿ,senn1-kiann2,k10,生孩子,deliver a child,汕頭話讀本,
生囝母,seⁿ-kiaⁿ-bó,senn1-kiann1-bo2,k10,助產士,midwife,汕頭話讀本,
生成,seⁿ-sêng,senn1-seng5,k10,生成,natural,汕頭話讀本,
生日,seⁿ-ji̍t,senn1-jit8,k10,生日,birthday,汕頭話讀本,
生物,seⁿ-mu̍eh,senn1-mueh8,k10,生物,disease|to have a disease,汕頭話讀本,
生理,seng-lí,seng1-li2,k00,生意,business mercantile|business|commerce|trade,汕頭話讀本,職業|經商
生理儂,seng-lí-nâng,seng1-li2-nang5,k00,生意人,tradesman,汕頭話讀本,職業|經商
生疑,chhi-gî,chhi1-gi5,k00,骯髒,,汕頭話讀本,入門
生瘋,seⁿ-huang,senn1-huang1,k10,風濕,rheumatism,汕頭話讀本,健康
生礬,chheⁿ-huân,chhenn1-huan5,k00,綠礬,alum. green,汕頭話讀本,職業|經商
生膿,pũ-lâng,pu6-lang5,k10,長膿,suppurate,汕頭話讀本,
生菜,chheⁿ-tshài,chhenn1-tshai3,k00,沙拉,salad,汕頭話讀本,植物|蔬菓
生鉎,seⁿ-san,senn1-san1,k00,生鏽,rusty,汕頭話讀本,起居|物件
生鐵,chheⁿ-thih,chhenn1-thih4,k10,生鐵,iron. unwrought,汕頭話讀本,
產業,suáⁿ-ngia̍p,suann2-ngiap8,k10,產業,"estate, (lands and houses",汕頭話讀本,
田主,tshân-tsú,tshan5-tsu2,k10,田主,landlord of land,汕頭話讀本,
田園,tshân-hn̂g,tshan5-hng5,k10,田園,farm|land property,汕頭話讀本,
田地,tshân-tī,tshan5-ti7,k10,田地,estate,汕頭話讀本,
田螺,tshân-lô,tshan5-lo5,k10,田螺,snail,汕頭話讀本,
畏,ùi,ui3,k00,怕,fear|afraid,汕頭話讀本,人|行動
畏凊,ùi-chhìn,ui3-chhin3,k00,怕冷,ague,汕頭話讀本,健康
畏死,ùi-sí,ui3-si2,k10,怕死,coward,汕頭話讀本,
畏羞恥,ùi-siáu-lí,ui3-siau2-li2,k10,害羞,,汕頭話讀本,
畧好,iáu-hó,iau2-ho2,k20,好些,,汕頭話讀本,健康
番儂,huan-nâng,huan1-nang5,k20,野蠻人,barbarian|foreigner,汕頭話讀本,人|稱呼
番布,huan-pòu,huan1-pou3,k10,番布,gray shirting,汕頭話讀本,
番梘,huan-káng,huan1-kang2,k10,(外國)肥皂,soap (foreign.),汕頭話讀本,起居|物件
番梨,huan-lâi,huan1-lai5,k00,鳳梨,pineapple,汕頭話讀本,植物|蔬菓
番爿,huan-pôiⁿ,huan1-poinn5,k10,外國,foreign country,汕頭話讀本,
番瓜,huan-kue,huan1-kue1,k10,南瓜,pumpkin,汕頭話讀本,植物|蔬菓
番葛,huan-kuah,huan1-kuah4,k10,蕃薯,potatoes sweet,汕頭話讀本,植物|蔬菓
番薯,huan-tsṳ̂,huan1-tsur5,k00,蕃薯,potatoes sweet,汕頭話讀本,植物|蔬菓
畫像,ūe-sièⁿ,ue7-sienn3,k10,畫像,artist,汕頭話讀本,
畫尪囝,ūe-ang-kiáⁿ,ue7-ang1-kiann2,k10,畫圖畫,artist|draw,汕頭話讀本,
當,tǹg,tng3,k10,承押,pawn|mortgage,汕頭話讀本,職業|經商
當主,tǹg-tsú,tng3-tsu2,k20,承押人,mortgagee,汕頭話讀本,職業|經商
當票,tǹg-phiè,tng3-phie3,k10,當票,ticket pawn,汕頭話讀本,
當舖,tǹg-phòu,tng3-phou3,k10,當舖,pawnshop,汕頭話讀本,
疥,kòi,koi3,k00,疥瘡,itch,汕頭話讀本,健康
痒癲,kuàn-pien,kuan3-pien1,k10,中風,,汕頭話讀本,健康
痔,thĩ,thi6,k00,痔瘡,piles,汕頭話讀本,健康
痞囝,phái-kiáⁿ,phai2-kiann2,k00,痞子,,考釋,人|品評
痢疾,lĩ-chit,li6-chit4,k00,痢疾,dysentery,汕頭話讀本,健康
痱,bùi,bui3,k00,痱子,prickly heat,汕頭話讀本,健康
瘋痛,huang-thiàⁿ,huang1-thiann3,k10,風濕,rheumatism,汕頭話讀本,健康
瘟疫,un-chiàng,un1-chiang3,k10,瘟疫,a plague,汕頭話讀本,
瘟瘴,un-chiàng,un1-chiang3,k00,瘟疫,plague,汕頭話讀本,健康
瘡,tshng,tshng1,k00,潰瘍,ulcers,汕頭話讀本,健康
瘤,liû,liu5,k00,腫瘤,tumour,汕頭話讀本,健康
癩瘑寮,thái-ko-liâu,thai2-ko1-liau5,k10,痲瘋病人聚居處,asylum,汕頭話讀本,
癬,sién,sien2,k00,癬,ringworm,汕頭話讀本,健康
癱瘓,kuàn-pien,kuan3-pien1,k10,癱瘓,palsy,汕頭話讀本,
癲,siáu,siau2,k00,瘋癲,mad,汕頭話讀本,健康
登位,teng-ūi,teng1-ui7,k10,登位,throne to ascend the,汕頭話讀本,
登基,teng-ki,teng1-ki1,k10,登基,throne to ascend the,汕頭話讀本,
發燒,huat-sie,huat4-sie1,k00,發燒,fever,汕頭話讀本,健康
白呢,pe̍h-nî,peh8-ni5,k10,白呢,flannel,汕頭話讀本,
白布,pe̍h-pòu,peh8-pou3,k10,白布,white cloth,汕頭話讀本,
白油,pe̍h-iû,peh8-iu5,k10,白油,white paint,汕頭話讀本,
白發,pe̍h-huat,peh8-huat4,k10,野生,weeds,汕頭話讀本,
白發个,pe̍h-huat-kâi,peh8-huat4-kai5,k10,雜草,,汕頭話讀本,植物
白礬,pe̍h-huân,peh8-huan5,k00,明礬,alum,汕頭話讀本,職業|經商
白竹紙,pe̍h-tek-tsuá,peh8-tek4-tsua2,k10,白竹紙,chinese note paper,汕頭話讀本,
白糖,pe̍h-thn̂g,peh8-thng5,k10,白糖,"sugar, white",汕頭話讀本,
白肉,pe̍h-ne̍k,peh8-nek8,k00,肥肉,,考釋,飲食
白菜,pe̍h-tshài,peh8-tshai3,k10,白菜,cabbage,汕頭話讀本,
白蜡,pe̍h-la̍h,peh8-lah8,k10,白蜡,"wax, insect, white",汕頭話讀本,
白話,pe̍h-ūe,peh8-ue7,k10,白話,colloquial|dialect,汕頭話讀本,
白鉛,pe̍h-în,peh8-in5,k10,鉛或鋅,spelter or zinc,汕頭話讀本,
白鐵,pe̍h-thih,peh8-thih4,k10,锡,tin,汕頭話讀本,
