teochew_puj_flat,teochew_puj,teochew,mandarin,en
kak thau5,kak-thâu,角頭,角頭,
kak8 tiou3,ka̍k-tiòu,捔掉,丟掉,
kam bit8,kam-bi̍t,甘蜜,檳榔膏,
kam chek,kam-chek,甘癪,絛蟲病,
kam nguan6,kam-nguãn,甘愿,甘愿,
kam thang5,kam-thâng,甘蟲,甘蟲,
kam tshau2,kam-tsháu,甘草,甘草,
kam2 sia7,kám-siā,感謝,感謝,
kam2 urn,kám-ṳn,感恩,感恩,
kan cheng3,kan-chèng,干証,干証,
kan chhin5,kan-chhîn,奸臣,,
kan hu,kan-hu,姦夫,姦夫,
kan im5,kan-îm,姦淫,姦淫,
kan khou2,kan-khóu,艱苦,艱苦,
kan pue,kan-pue,乾杯,,
kan ta,kan-ta,乾灱,,
kan3 pou6,kàn-põu,幹部,,
kang chinn5,kang-chîⁿ,工錢,工資,
kang hur5,kang-hṳ̂,江魚,銀魚,
kang theng5,kang-thêng,工程,,
kang tshai5,kang-tshâi,剛才,,
kang tsur,kang-tsṳ,工資,工資,
kang2 kiu3,káng-kiù,講究,講究,
kang2 lun6,káng-lũn,講論,討論,
kang3 khip,kàng-khip,降級,降級,
kann nann2,kaⁿ-náⁿ,橄欖,橄欖,
kann3 bo2,kàⁿ-bó,酵母,酵母,
kap pan2,kap-pán,夾板,夾板,
kap po5,kap-pô,蛤婆,蛤蟆,
kap tsur chheh,kap-tsṳ-chheh,夾書冊,綁書冊,
kat tit8,kat-ti̍t,結直,結直,
kat uann3,kat-uàⁿ,結案,結案,
kau chien3,kau-chièn,交戰,交戰,
kau inn2,kau-íⁿ,交椅,靠背椅,
kau inn2,kau-íⁿ,高椅,高椅,
kau kua3,kau-kuà,交掛,交易,
kau kuan,kau-kuan,交關,買,
kau kuan kai5 nang5,kau-kuan--kâi-nâng,交關嘅儂,顧客,
kau kuan kai5 nang5,kau-kuan--kâi-nâng,交關嘅人,顧客,
kau li5,kau-lî,高麗,高麗,
kau seng,kau-seng,高升,高升,
kau tai3,kau-tài,交代,,
kau tshap,kau-tshap,交插,交往,
kau2 bo2,káu-bó,狗母,母狗,
kau2 koih,káu-koih,垢圿,污垢,
kau3 liou3,kàu-liòu,到了,,
kau3 nienn5,kàu-niêⁿ,告量,商量,
kau3 nienn5,kàu-niêⁿ,商量,商量,
kau3 toi2,kàu-tói,到底,,
kau3 tsai7,kàu-tsāi,夠載,滿載,
kau3 tsui2,kàu-tsúi,夠水,成熟,
kau5 lak8,kâu-la̍k,猴栗,,
kau6 lak8,kãu-la̍k,侯栗,板栗,
kau7 ueh8,kāu-u̍eh,厚劃,厚劃,
ke hue2,ke-húe,家伙,家伙,
ke hue2,ke-húe,軍火,軍火,
ke kuan3,ke-kuàn,家眷,家眷,
ke lai6,ke-lãi,家內,家裏,
ke menn5,ke-mêⁿ,今夜,今夜,
ke menn5,ke-mêⁿ,今暝,今夜,
ke ngiap8,ke-ngia̍p,家業,家業,
ke nounn,ke-nouⁿ,家奴,家奴,
ke si,ke-si,傢俬,,
ke si,ke-si,家私,家具,
ke sin2,ke-sín,家神,祖先牌位,
ke sur7,ke-sṳ̄,家事,家業,
ke tienn2,ke-tiéⁿ,家長,,
ke tienn2,ke-tiéⁿ,家長,經理,
ke tsu2,ke-tsú,家主,一家之主,
ke tsur,ke-tsṳ,家資,家業,
ke2 chhiu2 pit,ké-chhiú-pit,假手筆,偽造簽名,
ke2 in3,ké-ìn,假印,假印,
ke3 chinn5,kè-chîⁿ,價錢,價格,
ke6 pin2,kẽ-pín,下品,下品,
keh,keh,槅,抽屜,
keh,keh,格,抽屜,
keh ninn6,keh-nĩⁿ,隔乳,斷奶,
kek chiu2,kek-chiú,激酒,釀酒,
kek hue,kek-hue,菊花,菊花,
kek si2,kek-sí,激死,氣死,
kek sim,kek-sim,衋心,痛心,
keng bie7,keng-biē,宮廟,宮廟,
keng chie,keng-chie,芎蕉,香蕉,
keng leh8,keng-le̍h,經歷,,
keng toinn7,keng-tōiⁿ,宮殿,,
keng3 ho2,kèng-hó,更好,更好,
keng3 tong6,kèng-tõng,敬重,敬重,
kenn pou3,keⁿ-pòu,經布,織布,
kenn tsoh,keⁿ-tsoh,耕作,耕作,
kenn2 it,kéⁿ-it,哽咽,,
kenn2 tieh8,kéⁿ--tie̍h,逆着,噎到,
kenn2 tieh8 au5,kéⁿ-tie̍h-âu,逆着喉,噎到,
kenn3 jip8,kèⁿ-ji̍p,逕入,,
kha,kha,骹,腿,
kha,kha,腳,腿,
kha au6 tenn,kha-ãu-teⁿ,骹後跟,腳後跟,
kha au6 tenn,kha-ãu-teⁿ,腳後跟,腳後跟,
kha khau3,kha-khàu,骹拷,腳拷,
kha khau3,kha-khàu,腳拷,腳拷,
kha kiau2,kha-kiáu,骹𢅎,綁腿,
kha kiau2,kha-kiáu,腳𢅎,綁腿,
kha liam5,kha-liâm,骹臁,腳下節,
kha liam5,kha-liâm,腳臁,腳下節,
kha mak8,kha-ma̍k,骹目,腳目,
kha mak8,kha-ma̍k,腳目,腳目,
kha niam5,kha-niâm,骹臁,前脛骨,
kha niam5,kha-niâm,腳臁,前脛骨,
kha puann5,kha-puâⁿ,骹蹯,足面,
kha puann5,kha-puâⁿ,腳蹯,足面,
kha tah8 inn2,kha-ta̍h-íⁿ,骹踏椅,腳踏椅,
kha tah8 inn2,kha-ta̍h-íⁿ,腳踏椅,腳踏椅,
kha thang2,kha-tháng,骹桶,腳桶,
kha thang2,kha-tháng,腳桶,腳桶,
kha thau5 u,kha-thâu-u,骹頭趺,膝蓋,
kha thau5 u,kha-thâu-u,腳頭趺,膝蓋,
kha thui2,kha-thúi,骹腿,腳腿,
kha thui2,kha-thúi,腳腿,腳腿,
kha tng5 tou2,kha-tn̂g-tóu,骹腸肚,小腿肚,
kha tng5 tou2,kha-tn̂g-tóu,腳腸肚,小腿肚,
kha toi2,kha-tói,骹底,腳底,
kha toi2,kha-tói,腳底,腳底,
kha tshng,kha-tshng,尻川,,
kha tshng poinn2,kha-tshng-póiⁿ,屁股爿,屁股邊,
kha tshng poinn2,kha-tshng-póiⁿ,屁股畔,屁股邊,
kha tsoinn2,kha-tsóiⁿ,骹趾,腳趾,
kha tsoinn2,kha-tsóiⁿ,腳趾,腳趾,
kha3 kou,khà-kou,敲罛,,
kha3 loi7 long,khà-lōi-long,和黎郞,拍賣,
kha3 phna3,khà-phnà,敲破,敲破,
kha3 sng3 puann5,khà-sǹg-puâⁿ,敲算盤,敲算盤,
kha3 tien6 po3,khà-tiẽn-pò,敲電報,敲電報,
khah khuah,khah-khuah,較闊,太闊,
khah kin,khah-kin,較緊,太緊,
khah oih8,khah-o̍ih,較狹,太狹,
khai pang3,khai-pàng,開放,開放,
khai phek,khai-phek,開闢,,
khai tshai2,khai-tshái,開採,,
kham kai,kham-kai,堪該,應受,
kham5 khiat8,khâm-khia̍t,嵁硈,,
kham5 khiat8,khâm-khia̍t,嵁硈,坎坷,
khan be2 soh,khan-bé-soh,牽馬索,牽馬繩,
khan kou5,khan-kôu,牽罟,,
khan man2,khan-mán,牽輓,,
khan seng5,khan-sêng,牽成,引薦,
khan thua,khan-thua,牽拖,引薦,
khang khak,khang-khak,空殼,空殼,
khang khue3,khang-khùe,工課,工作,
khang3 tshng5,khàng-tshn̂g,炕床,炕床,
khang3 tshng5,khàng-tshn̂g,炕牀,炕床,
khang3 tshng5,khàng-tshn̂g,炕床,炕,
khang3 tshng5,khàng-tshn̂g,炕牀,炕,
khang3 tshng5,khàng-tshn̂g,匟床,炕,
khang3 tshng5,khàng-tshn̂g,匟牀,炕,
khang5 khia5,khâng-khiâ,捧擎,捧拿,
khap in3,khap-ìn,蓋印,蓋印,
khat khou2,khat-khóu,刻苦,刻苦,
khat khou2 lun2,khat-khóu-lún,刻苦忍,刻苦忍耐,
khat khou2 nainn6,khat-khóu-nãiⁿ,刻苦耐,刻苦忍耐,
khau2 keng,kháu-keng,口供,口供,
khau2 mng7,kháu-mn̄g,考問,考問,
khau2 mng7,kháu-mn̄g,攷問,考問,
khau3 tur5,khàu-tṳ̂,扣除,,
kheh siang,kheh-siang,客商,商人,
kheh tiam3,kheh-tiàm,客店,酒店,
khek chih,khek-chih,曲折,,
khi khu,khi-khu,崎嶇,崎嶇,
khi khu,khi-khu,蹊𨄅,蹊𨄅,
khi2 chhiu3,khí-chhiù,齒漱,,
khi2 chhiu3,khí-chhiù,齒刷,牙刷,
khi2 hong3,khí-hòng,起鬨,,
khi2 hue2,khí-húe,起火,起火,
khi2 hue3,khí-hùe,起貨,起貨,
khi2 ke3,khí-kè,起價,漲價,
khi2 kiann5,khí-kiâⁿ,起行,起行,
khi2 lai5,khí--lâi,起來,起來,
khi2 mong5,khí-mông,啟蒙,,
khi2 ngurn5,khí-ngṳ̂n,齒齦,牙齦,
khi2 sin,khí-sin,起身,起身,
khi2 sit8,khí-si̍t,其實,其實,
khi2 thau5,khí-thâu,起頭,開始,
khi2 thiann3,khí-thiàⁿ,齒痛,牙痛,
khi2 thiann5,khí-thiâⁿ,起程,,
khi2 tshu3,khí-tshù,起厝,蓋房子,
khi3 bi7,khì-bī,氣味,氣味,
khi3 ku6,khì-kũ,器具,器具,
khi3 lat8,khì-la̍t,氣力,力量,
khi3 si3 hiong hiong,khì-sì-hiong-hiong,氣勢洶洶,,
khi5 i6,khî-ĩ,奇異,驚奇,
khi5 kha2,khî-khá,奇巧,奇巧,
khi5 kha2 mueh8,khî-khá-mu̍eh,奇巧物,奇珍異寶,
khi5 tau2,khî-táu,祈禱,祈禱,
khi5 ur5,khî-ṳ̂,其餘,其餘,
khia5 be2,khiâ-bé,騎馬,騎馬,
khia6 khi2,khiã-khí,徛起,居住,
khia6 khi2 lai5,khiã--khí-lâi,徛起來,站起來,
khia6 to6 kha thau7 kai5 nang5,khiã-tõ-kha-thāu--kâi-nâng,徛在骹頭嘅儂,旁觀者,
khia6 to6 kha thau7 kai5 nang5,khiã-tõ-kha-thāu--kâi-nâng,徛在腳頭嘅人,旁觀者,
khiam3 nang5 kai5 che3,khiàm-nâng-kâi-chè,欠儂嘅債,欠人的債,
khiam3 nang5 kai5 che3,khiàm-nâng-kâi-chè,欠人嘅債,欠人的債,
khiam3 nang5 kai5 chinn5,khiàm-nâng-kâi-chîⁿ,欠儂嘅錢,欠人的錢,
khiam3 nang5 kai5 chinn5,khiàm-nâng-kâi-chîⁿ,欠人嘅錢,欠人的錢,
khiang5 kan,khiâng-kan,強姦,,
khiau5 tsho2,khiâu-tshó,翹楚,出眾,
khieh hiang3,khieh-hiàng,𢭪餉,收稅,
khieh hurn6,khieh-hṳ̃n,𢭪恨,懷恨,
khieh8 lai3,khie̍h--lài,挈來,拿來,
khieh8 teng3,khie̍h-tèng,挈椗,起錨,
khieh8 tiann7,khie̍h--tiāⁿ,挈定,抓穩,
khien5 khun,khiên-khun,乾坤,,
khiet kur5,khiet-kṳ̂,拮据,,
khih tshui3,khih-tshùi,缺喙,唇裂,
khih tshui3,khih-tshùi,缺嘴,唇裂,
khim chhe,khim-chhe,欽差,欽差,
khim5 siu3,khîm-siù,禽獸,畜生,
khin mit8,khin-mi̍t,輕蔑,,
khin song,khin-song,輕鬆,,
khiok hok8,khiok-ho̍k,克服,,
khiok khau3,khiok-khàu,剋扣,,
khiou3 bue2,khiòu-búe,翹尾,翹尾巴,
khiou3 thau5 si,khiòu-thâu-si,翹頭絲,鋯絲,
khiou5 tsho2,khiôu-tshó,翹楚,翹楚,
khiu5 khurt,khiû-khṳt,求乞,乞求,
khng3 bua5,khǹg-buâ,囥埋,藏起來,
khng3 koi3,khǹg-kòi,勸戒,勸戒,
kho2 lien5,khó-liên,可憐,可憐,
kho2 pi2,khó-pí,可比,可比,
kho2 sieh,khó-sieh,可惜,可惜,
kho2 thiann3,khó-thiàⁿ,可痛,可痛,
kho2 u3,khó-ù,可惡,,
kho2 u3,khó-ù,可惡,可惡,
kho3 si,khò-si,鋯絲,鋯絲,
khoh8 kou5,kho̍h-kôu,煲糊,打漿糊,
khoi chhiu,khoi-chhiu,剃鬚,剃鬚,
khoi kinn5,khoi-kîⁿ,溪墘,溪邊,
khoi3 tshau2,khòi-tsháu,喫草,吃草,
khoih pou3,khoih-pòu,夾布,夾布,
khong2 chhieh,khóng-chhieh,孔雀,孔雀,
khong2 hu tsur2,khóng-hu-tsṳ́,孔夫子,孔夫子,
khong2 tsur2,khóng-tsṳ́,孔子,孔子,
khou siou3,khou-siòu,箍數,箍數,
khou thang2,khou-tháng,箍桶,箍桶,
khou tiou3,khou-tiòu,圈掉,圈掉,
khou2 kong2,khóu-kóng,口㼦,漱口杯,
khou2 kue,khóu-kue,苦瓜,苦瓜,
khou2 miann7,khóu-miāⁿ,苦命,苦命,
khou3 kha,khòu-kha,褲骹,褲腿,
khou3 kha,khòu-kha,褲腳,褲腿,
khou3 kueh8,khòu-ku̍eh,褲橛,,
khou3 kueh8,khòu-ku̍eh,褲橛,短褲,
khou3 pang5,khòu-pâng,庫房,庫房,
khou3 thau5 leng2,khòu-thâu-léng,褲頭綾,褲頭綾,
khou3 thau5 tua7,khòu-thâu-tuā,褲頭帶,腰帶,
khou3 thui2,khòu-thúi,褲腿,褲腿,
khou3 tiou3,khòu-tiòu,褲吊,褲吊,
khu6 kiann2,khũ-kiáⁿ,臼囝,小臼,
khua chiang,khua-chiang,誇張,,
khua hu6,khua-hũ,夸父,,
khua3 lur6,khuà-lṳ̃,掛慮,憂慮,
khua3 tieh8,khuà--tie̍h,掛着,擱淺,
khuah tak8,khuah-ta̍k,闊達,(心胸)寬廣,
khuan2 thai7,khuán-thāi,款待,款待,
khuan2 thau3,khuán-thàu,圈套,圈套,
khuann khuann,khuaⁿ-khuaⁿ,款款,漸漸,
khuann3 uah8,khuàⁿ-ua̍h,快活,歡快,
khue hok8,khue-ho̍k,恢復,,
khui hue,khui-hue,開花,開花,
khui phang5,khui-phâng,開帆,揚帆,
khui tuann,khui-tuaⁿ,開單,開賬,
khui3,khùi,氣,氣息,
khun lun5,khun-lûn,崑崙,,
khun thang5,khun-thâng,昆蟲,,
khun3 kiann2,khùn-kiáⁿ,頃囝,一會兒,
khun3 lan5,khùn-lân,困難,,
khun5 thau5,khûn-thâu,拳頭,拳頭,
khur3 cheh,khṳ̀-cheh,去職,離職,
khur3 no7,khṳ̀--nō,去哪,去吧,
khur3 tshu3,khṳ̀-tshù,去厝,回家,
khurh,khṳh,乞,給,
khurh khurh kie3,khṳh-khṳh-kiè,吃吃叫,,
khurn5 tshai3,khṳ̂n-tshài,芹菜,芹菜,
khurt chiah8,khṳt-chia̍h,乞食,乞丐,
ki hng,ki-hng,饑荒,饑荒,
ki ho5,ki-hô,幾何,,
ki hu,ki-hu,幾乎,,
ki hue6,ki-hũe,機會,機會,
ki tok,ki-tok,基督,基督,
ki3 bo2,kì-bó,繼母,繼母,
ki3 ho7,kì-hō,記號,記號,
ki3 khau2 keng,kì-kháu-keng,記口供,記口供,
ki3 liam6,kì-liãm,紀念,紀念,
ki3 miann5,kì-miâⁿ,記名,記名,
ki3 pe6,kì-pẽ,繼父,繼父,
ki3 siou3,kì-siòu,記數,記數,
ki3 tit,kì-tit,記得,記得,
ki5 kuann,kî-kuaⁿ,旗杆,旗杆,
kia2 zu5,kiá-zû,假如,,
kia3 khur3 boi2,kià-khṳ̀-bói,寄出買,訂購,
kiah sng3 puann5,kiah-sǹg-puâⁿ,揭算盤,打算盤,
kiah8,kia̍h,屐,木屐,
kiam5 hur5,kiâm-hṳ̂,鹹魚,鹹魚,
kiam5 siap,kiâm-siap,鹹澀,吝嗇,
kiam5 sng,kiâm-sng,鹹酸,鹹酸,
kiam5 tshai3,kiâm-tshài,鹹菜,鹹菜,
kiam5 tsui2 hur5,kiâm-tsúi-hṳ̂,鹹水魚,,
kiang ngenn6,kiang-ngẽⁿ,僵硬,,
kiang si,kiang-si,殭屍,,
kiang tsur2 ge5,kiang tsṳ́-gê,姜子牙,,
kiann,kiaⁿ,驚,怕,
kiann kau3 kong5 khur3,kiaⁿ-kàu-kông--khṳ̀,驚到戇去,驚呆了,
kiann siann5,kiaⁿ-siâⁿ,京城,京城,
kiann2,kiáⁿ,囝,子女,
kiann2 jit8,kiáⁿ-ji̍t,今旦日,今天,
kiann2 sai3,kiáⁿ-sài,囝婿,女婿,
kiann2 sun,kiáⁿ-sun,囝孫,子孫,
kiann5 bua5,kiâⁿ-buâ,行埋,行入,
kiann5 hau3,kiâⁿ-hàu,行孝,孝順,
kiann5 hua5,kiâⁿ-huâ,行和,行和,
kiann5 loi2,kiâⁿ-lói,行禮,行禮,
kiann5 menn2 tsai6,kiâⁿ-méⁿ-tsãi,行猛在,走很快,
kiann5 tah8,kiâⁿ-ta̍h,行踏,走動,
kiann5 tann7 lou7,kiâⁿ-tāⁿ-lōu,行差路,迷路,
kiann5 tsau2,kiâⁿ-tsáu,行走,行走,
kiann5 tsun5 nang5,kiâⁿ-tsûn-nâng,行船儂,船夫,
kiann5 tsun5 nang5,kiâⁿ-tsûn-nâng,行船人,船夫,
kiann5 ui5,kiâⁿ-ûi,行爲,行爲,
kiann7,kiāⁿ,健,健壯,
kien lien6,kien-liẽn,慳吝,,
kien3 siou3,kièn-siòu,見笑,羞恥,
kienn tsur5,kieⁿ-tsṳ̂,薑薯,,
kih kau,kih-kau,頰溝,臉頰,
kim chiau,kim-chiau,今朝,,
kim kann nann2,kim-kaⁿ-náⁿ,金橄欖,金橄欖,
kim khui3,kim-khùi,金器,金飾,
kim luan5 toinn7,kim-luân-tōiⁿ,金鑾殿,金鑾殿,
kim sua,kim-sua,金沙,金沙,
kim3 chi2,kìm-chí,禁子,禁子,
kim3 kam,kìm-kam,禁監,監禁,
kim3 kang2,kìm-káng,禁港,封鎖港口,
kim3 khau2,kìm-kháu,禁口,封鎖港口,
kiong hi2,kiong-hí,恭喜,恭喜,
kiou tsau6,kiou-tsãu,邀走,誘走,
kit phi2,kit-phí,結疕,結痂,
kit tang3,kit-tàng,結凍,凍結,
kiu3 tsu2,kiù-tsú,救主,救世主,
kng thang3,kng-thàng,光通,透明,
ko,ko,滒,黏稠,
ko ieh8,ko-ie̍h,膏藥,膏藥,
ko le6 tshai3,ko-lẽ-tshài,高麗菜,捲心菜,
ko pi5,ko-pî,羔丕,咖啡,
ko pi5 bo7,ko-pî-bō,羔丕磨,咖啡機,
ko pi5 kuan3,ko-pî-kuàn,羔丕罐,咖啡罐,
ko3 iann5,kò-iâⁿ,告贏,告贏,
ko3 si7,kò-sī,告示,告示,
ko3 su,kò-su,告輸,告輸,
koh ienn7,koh-iēⁿ,各樣,各樣,
koh lang5 e6,koh-lâng-ẽ,胳胴下,腋窩,
koi ah,koi-ah,雞鴨,雞鴨,
koi ang,koi-ang,雞翁,公雞,
koi chhi6,koi-chhĩ,街市,市場,
koi kiann2,koi-kiáⁿ,雞囝,雞囝,
koi lou7,koi-lōu,街路,街道,
koi monn5 tshoinn2,koi-môⁿ-tshóiⁿ,雞毛筅,雞毛筅,
koi nng6 kue2,koi-nñg-kúe,雞卵粿,蛋糕,
koi2 hun inn5,kói-hun-îⁿ,戒薰丸,戒菸藥,
koi2 ieh8,kói-ie̍h,解藥,解藥,
koi2 pinn3,kói-pìⁿ,改變,改變,
koi2 sueh,kói-sueh,解說,解釋,
koi3 kang7,kòi-kāng,計共,總計,
koi3 mong5,kòi-mông,計謀,計謀,
koi3 ueh8,kòi-u̍eh,計劃,,
koih8 loih8,ko̍ih-lo̍ih,葵笠,斗笠,
koinn pang2,koiⁿ-páng,肩膀,,
koinn thau5,koiⁿ-thâu,肩頭,肩膀,
koinn2,kóiⁿ,襇,裙褶,
koinn3keh,koinn3keh,間隔,,
kong cheng3,kong-chèng,公眾,公眾,
kong chhin,kong-chhin,公親,公斷人,
kong li2,kong-lí,公里,,
kong seng,kong-seng,公升,,
kong si,kong-si,公司,公司,
kong si suann,kong-si-suaⁿ,公司山,公墓,
kong sur7,kong-sṳ̄,公事,公事,
kong tau6,kong-tãu,公道,公道,
kong tng5,kong-tn̂g,公堂,公堂,
kong tsu2,kong-tsú,公主,公主,
kong urn,kong-ṳn,功恩,恩情,
kong3 huang5 ti3,kòng-huâng-tì,貢皇帝,上貢皇帝,
kong5,kông,戇,愚蠢,
kong5 khur3,kông-khṳ̀,戇去,暈了,
kou chiu2,kou-chiú,沽酒,打酒,
kou iu5,kou-iû,沽油,打油,
kou tienn6,kou-tiẽⁿ,姑丈,姑丈,
kou2 ke3,kóu-kè,估價,估價,
kou2 lau2,kóu-láu,孤老,孤寡老人,
kou2 nang2,kóu-náng,古儂,古人,
kou2 nang2,kóu-náng,古人,古人,
kou2 sur7,kóu-sṳ̄,古事,歷史,
kou2 tat8,kóu-ta̍t,估值,估值,
kou2 tat8,kóu-ta̍t,估値,估值,
kou2 tng7,kóu-tn̄g,古傳,,
kou2 tng7,kóu-tn̄g,古傳,傳說,
kou2 to7,kóu-tō,古代,,
kou2 tsa2,kóu-tsá,古早,古昔,
ku ie,ku-ie,佝腰,佝僂,
ku ie,ku-ie,痀腰,佝僂,
ku kuai3,ku-kuài,古怪,古怪,
ku lau2,ku-láu,孤老,孤寡老人,
ku2 ku2,kú-kú,久久,久久,
ku3 tshur2,kù-tshṳ́,故此,所以,
ku7 ieh,kū-ieh,舊約,舊約,
kua kai5,kua-kâi,寡个,幾個,
kua2 hu6,kuá-hũ,寡婦,寡婦,
kua3 benn uann,kuà-beⁿ-uaⁿ,掛馬鞍,上馬鞍,
kuah gu5 bah,kuah-gû-bah,割牛肉,割牛肉,
kuah hue,kuah-hue,割花,雕花,
kuah kang chinn,kuah kang-chiⁿ,割工錢,扣工資,
kuah tur bah,kuah-tṳ-bah,割豬肉,割豬肉,
kuai2 kha,kuái-kha,拐骹,拐腳,
kuai2 kha,kuái-kha,拐腳,拐腳,
kuai2 phien3,kuái-phièn,拐騙,,
kuan hi6,kuan-hĩ,關係,,
kuan ku3,kuan-kù,觀顧,照顧,
kuan tsu3,kuan-tsù,關注,,
kuan2 ieh8 kui2 kai5 nang5,kuán-ie̍h-kúi--kâi-nâng,管藥機嘅儂,管引擎的人,
kuan2 ieh8 kui2 kai5 nang5,kuán-ie̍h-kúi--kâi-nâng,管藥機嘅人,管引擎的人,
kuan2 li2,kuán-lí,管理,管理,
kuan3 pien,kuàn-pien,癱瘓,癱瘓,
kuan3 tng5,kuàn-tn̂g,灌腸,香腸,
kuan6 chien,kuãn-chien,捲煎,,
kuang,kuang,誑,騙,
kuann bak8,kuaⁿ-ba̍k,棺木,棺木,
kuann chhe,kuaⁿ-chhe,官差,,
kuann chiann3,kuaⁿ-chiàⁿ,官正,官正,
kuann ham,kuaⁿ-ham,官銜,官銜,
kuann hok8,kuaⁿ-ho̍k,官服,官服,
kuann hu2,kuaⁿ-hú,官府,官府,
kuann i,kuaⁿ-i,官衣,官衣,
kuann in3,kuaⁿ-ìn,官印,官印,
kuann khun2,kuaⁿ-khún,桿菌,,
kuann tsha5,kuaⁿ-tshâ,棺柴,棺木,
kuann5 ieh8,kuâⁿ-ie̍h,寒藥,奎寧,
kuann5 tieh8,kuâⁿ--tie̍h,寒着,凍到,
kuat huang,kuat huang,颳風,,
kue chheh,kue-chheh,瓜冊,瓜冊,
kue2,kúe,粿,蛋糕,
kue2,kúe,餜,蛋糕,
kue2 chi2,kúe-chí,果子,果子,
kue2 chi2 hng5,kúe-chí-hn̂g,果子園,果園,
kue3 cheh,kùe-cheh,過責,責備,
kue3 chienn,kùe-chieⁿ,過漿,上漿,
kue3 han6,kùe-hãn,過限,過期,
kue3 i3,kùe-ì,過意,過意,
kue3 khur3,kùe--khṳ̀,過去,過去,
kue3 phang5,kùe-phâng,過帆,過帆,
kue3 si3,kùe-sì,過世,過世,
kue3 tsua2,kùe-tsuá,掛紙,掃墓,
kue5 sinn5,kûe-sîⁿ,葵扇,葵扇,
kue5 tieh8,kûe--tie̍h,絆着,絆着,
kui huam6,kui-huãm,規範,,
kui kur2,kui-kṳ́,規矩,有禮貌,
kui nguan5,kui-nguân,歸原,庫存分類賬,
kui tiou5,kui-tiôu,規條,法律,
kui2 kai5 nang5,kúi-kâi nâng,幾个人,,
kui3 khi3,kùi-khì,貴氣,貴氣,
kui3 phue5,kùi-phûe,桂皮,肉桂,
kui3 tsai6,kùi-tsãi,貴在,很貴,
kui6 loh8 khur3,kũi--lo̍h-khṳ̀,跪落去,跪下去,
kuinn3 sinn3,kùiⁿ-sìⁿ,慣勢,習慣,
kuinn3 sinn3,kùiⁿ-sìⁿ,慣習,習慣,
kuinn7 kuann,kūiⁿ-kuaⁿ,縣官,縣官,
kuk sik8,kuk-si̍k,骨殖,屍骨,
kun piann,kun-piaⁿ,軍兵,軍兵,
kun tsur2,kun-tsṳ́,君子,君子,
kun2 tiou5,kún-tiôu,綑條,綑條,
kun2 tsui,kún-tsui,滾水,開水,
kur be2 phau5,kṳ bé phâu,車馬炮,,
kur2 chin3,kṳ́-chìn,舉荐,舉荐,
kur3 sut,kṳ̀-sut,鋸銊,鋸屑,
kur6 loh8 khur3,kṳ̃--lo̍h-khṳ̀,吞落去,吞下去,
kurn kur6,kṳn-kṳ̃,根據,,
kurn png2,kṳn-pńg,根本,根本,
kurn sim,kṳn-sim,謹心,謹心,
kurn sui5,kṳn-sûi,跟隨,跟隨,
kurn5 tang3,kṳ̂n-tàng,凝凍,凝結,
kurn6 si7,kṳ̃n-sī,近視,近視,
kurn6 tshur3,kṳ̃n-tshṳ̀,近覷,近視,
kut pai5,kut-pâi,骨牌,骨牌,
kut thau5,kut-thâu,骨頭,骨頭,
la ke3,la-kè,自誇,自誇,
la7 chhin3,lā-chhìn,拉凊,冷卻,
la7 liang5,lā-liâng,拉凉,乘凉,
la7 lun5 sie,lā-lûn-sie,半燒,半熱,
la7 sann,lā-saⁿ,晾衫,晾衣服,
lah8 chia3,la̍h-chià,蠟蔗,紅甘蔗,
lah8 jit8,la̍h-ji̍t,曆日,,
lah8 jit8,la̍h-ji̍t,曆日,日曆,
lah8 jit8,la̍h-ji̍t,歷日,日曆,
lai5 ngurn5,lâi-ngṳ̂n,來銀,收賬,
lai5 uang2,lâi-uáng,來往,分類賬,
lai6,lãi,內,家,
lai6 i,lãi-i,裏衣,,
lai6 i,lãi-i,裡衣,,
lai6 poinn5,lãi-pôiⁿ,內爿,裏面,
lai6 poinn5,lãi-pôiⁿ,內畔,裏面,
lai6 sun,lãi-sun,內孫,內孫,
lai6 ti,lãi-ti,內地,內地,
lai6 toi2,lãi-tói,裏底,,
lai6 toi2,lãi-tói,裡底,,
lai6 tsau2 sun,lãi-tsáu-sun,內走孫,內孫女,
lai7 chinn5,lāi-chîⁿ,利錢,利益,
lak8 kurn si,la̍k-kṳn-si,六斤四,六斤四,
lak8 pou6,la̍k-põu,六部,六部,
lan5 kan,lân-kan,欄杆,,
lan5 kan,lân-kan,欄杆,欄杆,
lan5 lo2,lân-ló,零些,一些,
lan5 lo2,lân-ló,零須,零星,
lan5 san,lân-san,零些,零星,
lan5 san boi7,lân-san-bōi,零些賣,零售,
lan6 hut8,lãn-hu̍t,卵核,睪丸,
lan6 pha,lãn-pha,卵脬,膀胱,
lan7 pha,lān-pha,卵脬,陰囊,
lang3 tiou3,làng-tiòu,漏掉,漏掉,
lang5 chia6,lâng-chiã,狼藉,,
lap thap,lap-thap,邋遢,邋遢,
lap8 hiang3,la̍p-hiàng,納餉,納稅,
lap8 nienn5,la̍p-niêⁿ,稅糧,納稅,
lat8,la̍t,力,勤勞,
lat8,la̍t,勤,勤勞,
lau2 chi2,láu-chí,荖枳,檳榔,
lau2 chiang3,láu-chiàng,老將,老兵,
lau2 hieh8,láu-hie̍h,荖葉,檳榔葉,
